w_samsung,w_skhynix,raw_cvar,normalized_cvar,portfolio_esg_risk,turnover,total_objective
0.2,0.8,0.0068,1.0,0.524,1.6,0.9743
0.21,0.79,0.0068,0.999,0.5227,1.58,0.9714
0.22,0.78,0.0068,0.998,0.5214,1.56,0.9684
0.23,0.77,0.0068,0.997,0.5201,1.54,0.9655
0.24,0.76,0.0068,0.9961,0.5188,1.52,0.9625
0.25,0.75,0.0068,0.9951,0.5175,1.5,0.9596
0.26,0.74,0.0068,0.9941,0.5162,1.48,0.9567
0.27,0.73,0.0068,0.9931,0.5149,1.46,0.9537
0.28,0.72,0.0068,0.9921,0.5136,1.44,0.9508
0.29,0.71,0.0067,0.9911,0.5123,1.42,0.9478
0.3,0.7,0.0067,0.9901,0.511,1.4,0.9449
0.31,0.69,0.0067,0.9892,0.5097,1.38,0.9419
0.32,0.68,0.0067,0.9882,0.5084,1.36,0.939
0.33,0.67,0.0067,0.9872,0.5071,1.34,0.9361
0.34,0.66,0.0067,0.9862,0.5058,1.32,0.9331
0.35,0.65,0.0067,0.9852,0.5045,1.3,0.9302
0.36,0.64,0.0067,0.9842,0.5032,1.28,0.9272
0.37,0.63,0.0067,0.9833,0.5019,1.26,0.9243
0.38,0.62,0.0067,0.9823,0.5006,1.24,0.9213
0.39,0.61,0.0067,0.9813,0.4993,1.22,0.9184
0.4,0.6,0.0067,0.9803,0.498,1.2,0.9155
0.41,0.59,0.0067,0.9793,0.4967,1.18,0.9125
0.42,0.58,0.0067,0.9783,0.4954,1.16,0.9096
0.43,0.57,0.0067,0.9773,0.4941,1.14,0.9066
0.44,0.56,0.0066,0.9764,0.4928,1.12,0.9037
0.45,0.55,0.0066,0.9754,0.4915,1.1,0.9007
0.46,0.54,0.0066,0.9744,0.4902,1.08,0.8978
0.47,0.53,0.0066,0.9734,0.4889,1.06,0.8949
0.48,0.52,0.0066,0.9724,0.4876,1.04,0.8919
0.49,0.51,0.0066,0.9714,0.4863,1.02,0.889
0.5,0.5,0.0066,0.9704,0.485,1.0,0.886
0.51,0.49,0.0066,0.9695,0.4837,0.98,0.8831
0.52,0.48,0.0066,0.9685,0.4824,0.96,0.8801
0.53,0.47,0.0066,0.9675,0.4811,0.94,0.8772
0.54,0.46,0.0066,0.9665,0.4798,0.92,0.8742
0.55,0.45,0.0066,0.9655,0.4785,0.9,0.8713
0.56,0.44,0.0066,0.9645,0.4772,0.88,0.8684
0.57,0.43,0.0066,0.9635,0.4759,0.86,0.8654
0.58,0.42,0.0066,0.9626,0.4746,0.84,0.8625
0.59,0.41,0.0065,0.9616,0.4733,0.82,0.8595
0.6,0.4,0.0065,0.9606,0.472,0.8,0.8566
0.61,0.39,0.0065,0.9596,0.4707,0.78,0.8536
0.62,0.38,0.0065,0.9586,0.4694,0.76,0.8507
0.63,0.37,0.0065,0.9576,0.4681,0.74,0.8478
0.64,0.36,0.0065,0.9567,0.4668,0.72,0.8448
0.65,0.35,0.0065,0.9557,0.4655,0.7,0.8419
0.66,0.34,0.0065,0.9547,0.4642,0.68,0.8389
0.67,0.33,0.0065,0.9537,0.4629,0.66,0.836
0.68,0.32,0.0065,0.9527,0.4616,0.64,0.833
0.69,0.31,0.0065,0.9517,0.4603,0.62,0.8301
0.7,0.3,0.0065,0.9507,0.459,0.6,0.8272
0.71,0.29,0.0065,0.9498,0.4577,0.58,0.8242
0.72,0.28,0.0065,0.9488,0.4564,0.56,0.8213
0.73,0.27,0.0065,0.9478,0.4551,0.54,0.8183
0.74,0.26,0.0064,0.9468,0.4538,0.52,0.8154
0.75,0.25,0.0064,0.9458,0.4525,0.5,0.8124
0.76,0.24,0.0064,0.9448,0.4512,0.48,0.8095
0.77,0.23,0.0064,0.9438,0.4499,0.46,0.8066
0.78,0.22,0.0064,0.9429,0.4486,0.44,0.8036
0.79,0.21,0.0064,0.9419,0.4473,0.42,0.8007
0.8,0.2,0.0064,0.9409,0.446,0.4,0.7977
