analysis_period_years,cvar_confidence,risk_priority,turnover_weight_gamma,rec_weight_samsung,rec_weight_skhynix,optimized_total_risk,optimized_cvar,optimized_esg_risk,risk_reduction_rate
1,0.9,loss_minimization,0.02,0.25,0.75,0.7523,0.0823,0.2115,-0.0004
1,0.9,loss_minimization,0.1,0.25,0.75,0.7523,0.0823,0.2115,-0.0004
1,0.9,loss_minimization,0.2,0.25,0.75,0.7523,0.0823,0.2115,-0.0004
1,0.9,balanced,0.02,0.25,0.75,0.6821,0.0823,0.2115,-0.0004
1,0.9,balanced,0.1,0.25,0.75,0.6821,0.0823,0.2115,-0.0004
1,0.9,balanced,0.2,0.25,0.75,0.6821,0.0823,0.2115,-0.0004
1,0.9,esg_focused,0.02,0.25,0.75,0.5418,0.0823,0.2115,-0.0009
1,0.9,esg_focused,0.1,0.25,0.75,0.5418,0.0823,0.2115,-0.0009
1,0.9,esg_focused,0.2,0.25,0.75,0.5418,0.0823,0.2115,-0.0009
1,0.95,loss_minimization,0.02,0.25,0.75,0.7526,0.1,0.2115,-0.0005
1,0.95,loss_minimization,0.1,0.25,0.75,0.7526,0.1,0.2115,-0.0005
1,0.95,loss_minimization,0.2,0.25,0.75,0.7526,0.1,0.2115,-0.0005
1,0.95,balanced,0.02,0.25,0.75,0.6824,0.1,0.2115,-0.0006
1,0.95,balanced,0.1,0.25,0.75,0.6824,0.1,0.2115,-0.0006
1,0.95,balanced,0.2,0.25,0.75,0.6824,0.1,0.2115,-0.0006
1,0.95,esg_focused,0.02,0.25,0.75,0.542,0.1,0.2115,-0.0009
1,0.95,esg_focused,0.1,0.25,0.75,0.542,0.1,0.2115,-0.0009
1,0.95,esg_focused,0.2,0.25,0.75,0.542,0.1,0.2115,-0.0009
1,0.975,loss_minimization,0.02,0.25,0.75,0.7522,0.1157,0.2115,-0.0004
1,0.975,loss_minimization,0.1,0.25,0.75,0.7522,0.1157,0.2115,-0.0004
1,0.975,loss_minimization,0.2,0.25,0.75,0.7522,0.1157,0.2115,-0.0004
1,0.975,balanced,0.02,0.25,0.75,0.6821,0.1157,0.2115,-0.0006
1,0.975,balanced,0.1,0.25,0.75,0.6821,0.1157,0.2115,-0.0006
1,0.975,balanced,0.2,0.25,0.75,0.6821,0.1157,0.2115,-0.0006
1,0.975,esg_focused,0.02,0.25,0.75,0.5418,0.1157,0.2115,-0.0011
1,0.975,esg_focused,0.1,0.25,0.75,0.5418,0.1157,0.2115,-0.0011
1,0.975,esg_focused,0.2,0.25,0.75,0.5418,0.1157,0.2115,-0.0011
3,0.9,loss_minimization,0.02,0.33,0.67,0.7414,0.0567,0.216,0.0056
3,0.9,loss_minimization,0.1,0.33,0.67,0.7414,0.0567,0.216,0.0056
3,0.9,loss_minimization,0.2,0.33,0.67,0.7414,0.0567,0.216,0.0056
3,0.9,balanced,0.02,0.25,0.75,0.6761,0.0585,0.2115,0.0001
3,0.9,balanced,0.1,0.25,0.75,0.6761,0.0585,0.2115,0.0001
3,0.9,balanced,0.2,0.25,0.75,0.6761,0.0585,0.2115,0.0001
3,0.9,esg_focused,0.02,0.25,0.75,0.5375,0.0585,0.2115,-0.0004
3,0.9,esg_focused,0.1,0.25,0.75,0.5375,0.0585,0.2115,-0.0004
3,0.9,esg_focused,0.2,0.25,0.75,0.5375,0.0585,0.2115,-0.0004
3,0.95,loss_minimization,0.02,0.25,0.75,0.747,0.0774,0.2115,0.0001
3,0.95,loss_minimization,0.1,0.25,0.75,0.747,0.0774,0.2115,0.0001
3,0.95,loss_minimization,0.2,0.25,0.75,0.747,0.0774,0.2115,0.0001
3,0.95,balanced,0.02,0.25,0.75,0.6776,0.0774,0.2115,-0.0001
3,0.95,balanced,0.1,0.25,0.75,0.6776,0.0774,0.2115,-0.0001
3,0.95,balanced,0.2,0.25,0.75,0.6776,0.0774,0.2115,-0.0001
3,0.95,esg_focused,0.02,0.25,0.75,0.5386,0.0774,0.2115,-0.0006
3,0.95,esg_focused,0.1,0.25,0.75,0.5386,0.0774,0.2115,-0.0006
3,0.95,esg_focused,0.2,0.25,0.75,0.5386,0.0774,0.2115,-0.0006
3,0.975,loss_minimization,0.02,0.25,0.75,0.749,0.0948,0.2115,-0.0001
3,0.975,loss_minimization,0.1,0.25,0.75,0.749,0.0948,0.2115,-0.0001
3,0.975,loss_minimization,0.2,0.25,0.75,0.749,0.0948,0.2115,-0.0001
3,0.975,balanced,0.02,0.25,0.75,0.6793,0.0948,0.2115,-0.0004
3,0.975,balanced,0.1,0.25,0.75,0.6793,0.0948,0.2115,-0.0004
3,0.975,balanced,0.2,0.25,0.75,0.6793,0.0948,0.2115,-0.0004
3,0.975,esg_focused,0.02,0.25,0.75,0.5398,0.0948,0.2115,-0.0009
3,0.975,esg_focused,0.1,0.25,0.75,0.5398,0.0948,0.2115,-0.0009
3,0.975,esg_focused,0.2,0.25,0.75,0.5398,0.0948,0.2115,-0.0009
5,0.9,loss_minimization,0.02,0.33,0.67,0.7414,0.0567,0.216,0.0056
5,0.9,loss_minimization,0.1,0.33,0.67,0.7414,0.0567,0.216,0.0056
5,0.9,loss_minimization,0.2,0.33,0.67,0.7414,0.0567,0.216,0.0056
5,0.9,balanced,0.02,0.25,0.75,0.6761,0.0585,0.2115,0.0001
5,0.9,balanced,0.1,0.25,0.75,0.6761,0.0585,0.2115,0.0001
5,0.9,balanced,0.2,0.25,0.75,0.6761,0.0585,0.2115,0.0001
5,0.9,esg_focused,0.02,0.25,0.75,0.5375,0.0585,0.2115,-0.0004
5,0.9,esg_focused,0.1,0.25,0.75,0.5375,0.0585,0.2115,-0.0004
5,0.9,esg_focused,0.2,0.25,0.75,0.5375,0.0585,0.2115,-0.0004
5,0.95,loss_minimization,0.02,0.25,0.75,0.747,0.0774,0.2115,0.0001
5,0.95,loss_minimization,0.1,0.25,0.75,0.747,0.0774,0.2115,0.0001
5,0.95,loss_minimization,0.2,0.25,0.75,0.747,0.0774,0.2115,0.0001
5,0.95,balanced,0.02,0.25,0.75,0.6776,0.0774,0.2115,-0.0001
5,0.95,balanced,0.1,0.25,0.75,0.6776,0.0774,0.2115,-0.0001
5,0.95,balanced,0.2,0.25,0.75,0.6776,0.0774,0.2115,-0.0001
5,0.95,esg_focused,0.02,0.25,0.75,0.5386,0.0774,0.2115,-0.0006
5,0.95,esg_focused,0.1,0.25,0.75,0.5386,0.0774,0.2115,-0.0006
5,0.95,esg_focused,0.2,0.25,0.75,0.5386,0.0774,0.2115,-0.0006
5,0.975,loss_minimization,0.02,0.25,0.75,0.749,0.0948,0.2115,-0.0001
5,0.975,loss_minimization,0.1,0.25,0.75,0.749,0.0948,0.2115,-0.0001
5,0.975,loss_minimization,0.2,0.25,0.75,0.749,0.0948,0.2115,-0.0001
5,0.975,balanced,0.02,0.25,0.75,0.6793,0.0948,0.2115,-0.0004
5,0.975,balanced,0.1,0.25,0.75,0.6793,0.0948,0.2115,-0.0004
5,0.975,balanced,0.2,0.25,0.75,0.6793,0.0948,0.2115,-0.0004
5,0.975,esg_focused,0.02,0.25,0.75,0.5398,0.0948,0.2115,-0.0009
5,0.975,esg_focused,0.1,0.25,0.75,0.5398,0.0948,0.2115,-0.0009
5,0.975,esg_focused,0.2,0.25,0.75,0.5398,0.0948,0.2115,-0.0009
