category,indicator_id,indicator_name,risk_direction,min_val,max_val,count
E,E01,온실가스 배출집약도,higher_is_worse,12.4,17.8,6
E,E02,용수 재이용률,higher_is_better,57.5,65.2,6
E,E03,폐기물 재활용률,higher_is_better,93.1,97.5,6
E,E04,공정가스 감축률,higher_is_better,84.0,91.2,6
E,E05,유해화학물질 배출량,higher_is_worse,980.0,1480.0,6
G,G01,사외이사 비율,higher_is_better,60.0,71.4,6
G,G02,정정공시 건수,higher_is_worse,0.0,3.0,6
G,G03,준법/수출통제 위반 건수,higher_is_worse,0.0,2.0,6
S,S01,산업재해율(LTIR),higher_is_worse,0.03,0.07,6
S,S02,책임광물 제3자 검증률,higher_is_better,98.5,100.0,3
S,S02,협력사 ESG 현장실사 비율,higher_is_better,80.1,88.4,3
S,S03,임직원 자발적 이직률,higher_is_worse,1.8,2.5,6
S,S04,정보보호 관리 수준,higher_is_better,88.0,95.0,6
